time,open,high,low,close,tick_volume,spread,real_volume
2025-02-10 12:00:00,2903.06,2906.26,2898.17,2902.44,4471,5,0
2025-02-10 13:00:00,2902.41,2905.69,2898.31,2904.61,3988,5,0
2025-02-10 14:00:00,2904.54,2907.0,2902.73,2902.88,4370,5,0
2025-02-10 15:00:00,2902.65,2910.83,2899.79,2901.04,5796,5,0
2025-02-10 16:00:00,2900.96,2909.25,2896.36,2908.71,5602,5,0
2025-02-10 17:00:00,2908.72,2911.77,2904.53,2908.97,5363,5,0
2025-02-10 18:00:00,2909.15,2910.35,2899.01,2900.99,4618,5,0
2025-02-10 19:00:00,2901.0,2904.55,2896.59,2903.25,4277,5,0
2025-02-10 20:00:00,2903.18,2907.01,2900.92,2905.07,4027,5,0
2025-02-10 21:00:00,2905.08,2906.68,2902.51,2904.37,3676,5,0
2025-02-10 22:00:00,2904.33,2907.75,2902.92,2907.49,4261,5,0
2025-02-10 23:00:00,2907.31,2908.3,2905.33,2907.88,1369,9,0
2025-02-11 01:00:00,2907.9,2921.67,2907.87,2917.83,2641,5,0
2025-02-11 02:00:00,2917.96,2924.97,2916.42,2922.61,2677,5,0
2025-02-11 03:00:00,2922.6,2935.94,2919.62,2933.95,5091,5,0
2025-02-11 04:00:00,2933.96,2942.58,2906.31,2918.76,5872,5,0
2025-02-11 05:00:00,2918.46,2925.71,2911.15,2919.61,4710,5,0
2025-02-11 06:00:00,2919.61,2920.7,2914.64,2916.29,3089,5,0
2025-02-11 07:00:00,2916.11,2923.66,2915.21,2922.9,3592,5,0
2025-02-11 08:00:00,2922.61,2929.26,2915.34,2917.89,4551,5,0
2025-02-11 09:00:00,2917.78,2918.32,2907.31,2913.44,4727,5,0
2025-02-11 10:00:00,2913.05,2915.38,2907.02,2907.45,4739,5,0
2025-02-11 11:00:00,2907.26,2912.2,2902.99,2903.3,4727,5,0
2025-02-11 12:00:00,2903.01,2907.11,2901.82,2902.46,4615,5,0
2025-02-11 13:00:00,2902.63,2906.69,2902.1,2903.98,4117,5,0
2025-02-11 14:00:00,2903.98,2904.4,2886.89,2889.32,5416,5,0
2025-02-11 15:00:00,2889.04,2898.04,2881.81,2896.36,6268,5,0
2025-02-11 16:00:00,2896.47,2904.28,2894.88,2896.64,6097,5,0
2025-02-11 17:00:00,2896.15,2906.52,2890.91,2904.74,5785,5,0
2025-02-11 18:00:00,2904.98,2908.61,2902.33,2902.39,5117,5,0
2025-02-11 19:00:00,2902.25,2907.26,2899.57,2905.6,4721,5,0
2025-02-11 20:00:00,2905.63,2907.11,2903.29,2905.94,4310,7,0
2025-02-11 21:00:00,2905.87,2906.48,2899.59,2899.99,4257,5,0
2025-02-11 22:00:00,2899.97,2900.4,2894.06,2897.56,4839,5,0
2025-02-11 23:00:00,2897.34,2899.75,2897.19,2897.53,1181,5,0
2025-02-12 01:00:00,2898.02,2900.82,2896.75,2898.53,1348,5,0
2025-02-12 02:00:00,2898.68,2898.73,2889.44,2892.25,2522,5,0
2025-02-12 03:00:00,2892.39,2897.81,2883.77,2893.35,4911,5,0
2025-02-12 04:00:00,2893.34,2897.75,2891.68,2892.38,4104,5,0
2025-02-12 05:00:00,2892.32,2893.11,2886.84,2889.03,3841,5,0
2025-02-12 06:00:00,2889.02,2890.51,2884.05,2885.17,3107,5,0
2025-02-12 07:00:00,2885.36,2887.99,2883.66,2886.14,3660,5,0
2025-02-12 08:00:00,2886.06,2894.75,2885.51,2892.31,3950,5,0
2025-02-12 09:00:00,2892.29,2895.86,2890.81,2892.8,3946,5,0
2025-02-12 10:00:00,2892.93,2894.16,2888.11,2891.64,4191,5,0
2025-02-12 11:00:00,2891.65,2893.43,2886.51,2886.78,4068,7,0
2025-02-12 12:00:00,2886.78,2889.9,2879.38,2882.69,3920,5,0
2025-02-12 13:00:00,2882.59,2885.92,2879.48,2879.58,3677,5,0
2025-02-12 14:00:00,2879.64,2885.84,2878.88,2885.03,4115,5,0
2025-02-12 15:00:00,2885.17,2885.64,2863.54,2884.75,6159,5,0
2025-02-12 16:00:00,2884.97,2898.0,2881.94,2894.37,6063,5,0
2025-02-12 17:00:00,2894.31,2895.85,2886.91,2894.53,5413,5,0
2025-02-12 18:00:00,2894.47,2904.42,2892.13,2902.6,5172,5,0
2025-02-12 19:00:00,2902.63,2909.15,2901.9,2902.91,4677,5,0
2025-02-12 20:00:00,2902.9,2903.74,2900.51,2901.03,4002,5,0
2025-02-12 21:00:00,2901.16,2901.85,2893.53,2897.97,3624,5,0
2025-02-12 22:00:00,2897.97,2901.48,2895.59,2901.0,3647,5,0
